date,geography,geography code,bicycle_male_16to19,bicycle_male_20to21,bicycle_male_22to24,bicycle_male_25to29,bicycle_male_30to34,bicycle_male_35to39,bicycle_male_40to44,bicycle_male_45to49,bicycle_male_50to54,bicycle_male_55to59,bicycle_male_60to64,bicycle_male_65+,bicycle_female_16to19,bicycle_female_20to21,bicycle_female_22to24,bicycle_female_25to29,bicycle_female_30to34,bicycle_female_35to39,bicycle_female_40to44,bicycle_female_45to49,bicycle_female_50to54,bicycle_female_55to59,bicycle_female_60to64,bicycle_female_65+
2011,Redbridge,E41000317,12,14,58,117,149,163,160,165,128,69,37,17,2,1,17,28,39,31,32,55,35,19,10,4
2011,Richmond upon Thames,E41000318,88,63,169,390,636,732,567,511,320,216,130,69,39,20,62,194,291,273,296,295,229,154,90,41
2011,Southwark,E41000319,52,110,352,1455,1649,1298,983,666,428,215,79,51,46,50,232,743,746,473,315,252,148,91,26,13
2011,Sutton,E41000320,58,38,70,164,231,266,258,234,139,104,59,22,10,4,22,36,44,40,62,60,50,29,23,5
2011,Tower Hamlets,E41000321,30,91,411,1512,1331,816,504,321,201,93,38,27,15,58,245,807,634,289,156,109,53,36,12,18
2011,Waltham Forest,E41000322,34,44,95,350,421,481,399,278,175,107,57,19,13,5,37,121,152,150,150,111,54,37,13,5
2011,Wandsworth,E41000323,65,73,451,2010,2146,1568,976,709,429,261,134,79,21,29,240,1128,959,527,388,260,185,106,56,34
2011,"Westminster,City of London",E41000324,22,31,174,781,863,656,469,327,214,127,65,46,2,15,94,372,382,235,146,130,81,64,37,14
2011,Medway,E41000035,61,43,93,147,156,163,159,130,115,85,35,19,11,4,8,18,19,26,32,42,29,14,8,8
2011,Bracknell Forest,E41000036,64,43,77,89,114,135,123,126,90,64,32,15,11,6,27,42,44,38,49,65,47,33,18,17
2011,West Berkshire,E41000037,102,37,88,154,190,229,244,178,159,86,81,29,22,6,20,43,49,56,64,76,70,41,34,14
2011,Reading,E41000038,114,112,154,323,436,378,284,236,172,115,50,25,29,42,60,136,138,86,101,94,81,57,23,18
2011,Slough,E41000039,58,48,90,185,183,152,116,115,102,75,43,21,10,8,31,64,59,43,42,34,38,22,21,18
2011,Windsor and Maidenhead,E41000040,88,39,64,155,139,162,126,134,97,63,52,34,21,18,20,43,64,61,62,65,74,59,34,21
2011,Wokingham,E41000041,144,29,74,129,140,213,219,183,128,78,63,11,27,12,27,37,43,49,78,82,77,44,33,27
2011,Milton Keynes,E41000042,130,78,179,416,455,365,333,293,217,148,99,43,19,19,49,99,111,98,102,128,105,78,30,17
2011,Brighton and Hove,E41000043,96,149,317,695,731,790,604,447,260,176,88,40,30,90,202,373,440,364,300,232,119,70,19,13
2011,Portsmouth,E41000044,246,216,355,656,580,613,632,606,482,286,205,89,83,100,157,275,199,264,273,287,209,132,58,35
2011,Southampton,E41000045,182,218,336,592,595,519,374,399,261,193,120,58,46,81,138,202,177,148,129,131,118,72,40,25
2011,Isle of Wight,E41000046,54,31,64,128,159,212,220,209,141,95,78,26,9,7,17,19,27,52,62,49,47,38,22,8
2011,Aylesbury Vale,E41000056,68,37,50,80,127,144,121,147,107,83,46,30,10,2,18,35,35,51,64,69,64,50,19,23
2011,Chiltern,E41000057,27,5,11,21,32,41,34,41,38,18,25,5,5,2,4,9,5,9,17,18,12,8,6,5
2011,South Bucks,E41000058,15,5,14,30,34,32,53,41,40,30,20,11,5,2,8,10,7,8,16,17,12,8,6,10
2011,Wycombe,E41000059,48,31,53,80,100,134,111,127,77,39,37,15,11,1,14,23,33,33,35,27,30,22,11,5
2011,Eastbourne,E41000093,58,38,73,121,115,131,126,123,78,65,40,23,16,9,15,41,36,39,31,58,38,26,19,10
2011,Hastings,E41000094,20,8,30,43,68,65,67,60,35,38,16,6,4,0,5,13,18,13,20,25,7,6,6,3
2011,Lewes,E41000095,33,6,27,52,53,69,79,100,72,60,31,17,10,1,6,12,15,19,26,32,28,19,12,5
2011,Rother,E41000096,37,10,14,45,21,28,59,50,42,35,18,10,5,2,4,2,12,4,13,20,15,9,9,10
2011,Wealden,E41000097,62,18,31,37,48,55,69,68,64,44,35,10,21,2,7,9,13,15,14,20,16,18,9,6
2011,Basingstoke and Deane,E41000116,96,47,86,196,204,175,189,187,154,99,64,33,12,5,22,47,42,36,53,43,45,32,16,10
2011,East Hampshire,E41000117,69,15,47,87,86,89,89,75,63,40,38,22,8,2,9,16,17,20,31,55,40,25,11,18
2011,Eastleigh,E41000118,119,47,65,133,151,165,148,158,119,79,57,25,16,12,17,35,54,34,39,70,45,30,24,10
2011,Fareham,E41000119,123,59,90,158,155,189,240,206,166,98,61,21,31,11,22,30,18,43,78,83,71,61,29,18
2011,Gosport,E41000120,151,107,186,344,329,398,373,397,323,236,134,48,75,30,78,104,107,160,164,173,157,116,65,41
2011,Hart,E41000121,55,17,38,95,113,100,115,83,43,39,23,27,6,0,7,15,21,15,22,23,26,26,16,16
2011,Havant,E41000122,91,33,66,118,124,119,153,157,125,87,81,23,23,7,10,34,25,40,59,91,59,47,38,29
2011,New Forest,E41000123,173,73,114,192,216,227,218,300,220,197,126,64,54,17,32,66,61,99,138,141,124,119,67,55
2011,Rushmoor,E41000124,60,43,86,158,150,202,128,130,73,58,31,11,12,16,25,23,34,36,39,36,30,18,10,8
2011,Test Valley,E41000125,60,34,77,147,146,212,176,150,120,108,57,33,10,10,12,25,24,34,48,57,54,46,26,14
2011,Winchester,E41000126,64,28,43,99,92,107,101,94,83,40,26,16,17,9,13,17,37,34,51,45,35,23,20,12
2011,Ashford,E41000137,87,39,57,121,131,128,150,137,105,82,39,15,12,9,18,45,38,41,46,48,39,31,13,17
2011,Canterbury,E41000138,64,73,101,123,116,128,134,153,116,101,85,31,18,29,28,47,38,61,74,81,61,54,23,18
2011,Dartford,E41000139,19,12,34,66,54,58,57,64,38,19,17,7,6,1,6,9,11,11,6,5,10,8,4,5
2011,Dover,E41000140,45,22,25,77,80,84,100,106,88,68,39,23,9,5,11,19,16,15,40,41,52,45,23,14
2011,Gravesham,E41000141,17,13,22,29,37,48,46,61,48,28,21,10,2,2,4,2,5,11,10,14,13,5,2,0
2011,Maidstone,E41000142,62,16,40,78,96,107,102,69,77,44,31,10,10,3,14,17,21,21,18,33,16,15,9,9
2011,Sevenoaks,E41000143,21,10,18,34,31,65,44,46,38,34,16,15,2,0,3,6,12,14,8,8,7,10,9,7
2011,Shepway,E41000144,43,21,35,69,55,91,87,84,43,44,43,19,7,5,9,9,11,22,38,35,43,34,8,14
2011,Swale,E41000145,72,39,63,92,112,125,118,124,113,100,63,33,6,6,13,27,16,21,30,48,54,34,26,25
2011,Thanet,E41000146,77,44,57,97,111,122,148,129,117,70,70,21,6,9,11,18,22,22,43,50,40,35,32,19
2011,Tonbridge and Malling,E41000147,50,20,43,41,59,75,90,91,59,48,37,17,4,4,10,12,11,32,22,35,29,20,16,8
2011,Tunbridge Wells,E41000148,36,13,28,63,52,90,54,70,44,29,22,8,3,2,2,23,20,11,10,14,20,19,7,4
2011,Cherwell,E41000203,88,46,109,208,223,210,233,224,157,128,89,29,26,9,42,88,79,94,108,119,112,77,42,26
2011,Oxford,E41000204,188,179,443,1177,1162,830,736,698,544,413,285,180,119,109,422,1009,869,561,505,508,410,326,192,97
2011,South Oxfordshire,E41000205,99,44,96,223,241,235,211,211,144,111,93,46,31,15,36,58,44,78,100,101,111,75,47,64
2011,Vale of White Horse,E41000206,168,52,92,248,386,321,332,279,230,183,126,74,57,19,59,127,138,159,186,196,205,141,92,63
2011,West Oxfordshire,E41000207,99,52,79,187,205,206,187,171,137,86,58,41,28,22,31,49,62,58,110,128,101,82,48,64
2011,Elmbridge,E41000228,93,29,65,148,191,205,188,186,133,78,59,22,21,7,35,66,84,69,75,93,56,59,27,26
2011,Epsom and Ewell,E41000229,42,21,29,64,82,99,111,92,76,37,24,19,9,7,13,20,19,30,46,37,23,31,13,9
2011,Guildford,E41000230,85,56,112,180,218,182,136,143,93,62,43,26,21,23,32,57,55,48,55,52,50,22,15,12
2011,Mole Valley,E41000231,49,9,32,55,57,92,79,84,67,33,21,11,8,5,6,14,17,12,31,36,25,20,7,8
2011,Reigate and Banstead,E41000232,53,31,52,89,124,128,136,129,69,61,34,19,15,3,11,26,23,27,52,37,26,22,12,8
2011,Runnymede,E41000233,63,38,47,87,119,98,87,113,80,55,45,27,13,18,13,25,23,36,47,34,36,30,25,12
2011,Spelthorne,E41000234,72,33,47,106,108,110,115,159,113,74,51,19,12,3,12,19,33,36,42,45,46,26,24,14
2011,Surrey Heath,E41000235,50,17,29,56,82,98,73,60,41,38,23,12,5,2,7,11,19,23,32,37,30,15,6,4
2011,Tandridge,E41000236,20,14,12,20,40,37,30,36,30,12,9,10,3,1,3,3,6,7,9,6,5,7,1,1
2011,Waverley,E41000237,61,22,32,64,65,80,66,65,56,43,34,19,11,2,9,21,26,29,37,42,37,28,17,17
2011,Woking,E41000238,66,37,63,131,147,122,121,106,70,56,32,15,17,7,15,27,35,40,55,60,48,35,23,17
2011,Adur,E41000244,50,23,40,71,94,104,124,97,71,59,46,21,9,7,9,21,30,45,46,36,37,30,23,14
2011,Arun,E41000245,118,73,84,146,166,178,189,199,145,116,76,52,41,31,34,59,61,66,106,130,143,113,81,44
2011,Chichester,E41000246,99,56,88,158,128,161,171,148,132,100,78,36,36,29,39,64,47,74,102,115,147,97,55,24
2011,Crawley,E41000247,54,38,63,119,153,124,147,133,113,66,44,11,11,5,16,51,29,35,45,41,41,27,13,10
2011,Horsham,E41000248,98,16,41,73,73,81,93,98,88,48,39,21,13,5,8,20,18,26,44,64,56,33,21,15
2011,Mid Sussex,E41000249,63,32,36,70,83,82,106,108,69,44,36,12,12,6,5,13,16,20,41,41,29,23,19,6
2011,Worthing,E41000250,178,73,103,196,204,186,202,232,148,89,68,45,46,20,27,51,107,80,129,137,97,81,40,50
2011,Bath and North East Somerset,E41000022,77,71,121,205,251,243,286,242,174,126,63,29,21,15,33,66,62,81,75,78,71,45,19,10
2011,"Bristol, City of",E41000023,338,358,879,1940,2073,1670,1321,1105,709,449,228,102,88,126,438,948,891,576,522,480,301,167,54,34
2011,"Cornwall,Isles of Scilly",E41000052,138,74,167,322,364,469,508,427,305,219,129,65,32,21,46,88,84,95,110,115,89,61,30,22
2011,Wiltshire,E41000053,291,144,296,592,664,772,675,594,462,319,230,115,66,28,67,110,111,148,166,248,216,180,95,79
2011,North Somerset,E41000024,160,62,86,215,227,244,271,260,176,91,81,22,36,14,29,67,71,79,104,122,88,72,45,41
2011,South Gloucestershire,E41000025,225,116,208,476,528,633,677,638,417,223,124,48,33,29,43,111,118,133,161,127,102,74,34,23
2011,Plymouth,E41000026,80,69,175,352,346,423,399,382,242,143,58,19,11,23,31,45,49,59,55,44,37,13,2,4
2011,Torbay,E41000027,28,17,38,53,73,98,96,92,77,43,27,10,3,0,7,17,12,17,16,14,19,16,5,8
2011,Bournemouth,E41000028,208,165,233,415,448,400,338,339,197,129,90,32,48,52,88,175,157,138,117,153,105,97,35,23
2011,Poole,E41000029,188,94,140,314,361,332,343,324,243,165,108,43,34,20,31,70,73,94,97,124,100,64,23,21
2011,Swindon,E41000030,162,116,215,383,411,517,519,487,326,254,154,56,22,12,51,110,98,134,126,160,128,91,47,29
2011,East Devon,E41000079,73,24,58,72,98,117,144,142,97,61,45,26,12,7,15,21,29,29,41,65,45,37,20,15
2011,Exeter,E41000080,121,82,142,308,357,347,319,312,248,161,90,37,17,31,63,146,165,127,147,142,112,48,19,12
2011,Mid Devon,E41000081,25,19,18,53,48,54,93,70,51,48,30,9,5,5,4,19,18,13,18,28,29,20,11,9
2011,North Devon,E41000082,43,31,82,117,156,149,185,151,118,82,60,17,15,4,15,29,38,36,61,47,44,28,16,10
2011,South Hams,E41000083,37,9,26,36,36,54,64,60,39,21,19,8,6,0,5,8,9,11,18,14,17,8,1,3
2011,Teignbridge,E41000084,39,24,29,63,71,100,119,111,74,59,46,20,14,4,10,19,14,24,32,31,25,17,8,4
2011,Torridge,E41000085,23,8,16,37,40,35,40,38,30,20,13,5,3,0,3,4,6,13,13,9,4,5,0,0
2011,West Devon,E41000086,9,6,9,11,29,23,30,40,19,23,11,3,4,1,2,4,1,5,7,13,11,9,1,4
2011,Christchurch,E41000087,77,27,32,50,67,86,92,84,63,43,35,19,25,11,6,10,19,31,54,50,35,42,13,14
2011,East Dorset,E41000088,77,33,42,64,60,75,92,80,74,47,35,31,21,6,8,6,16,17,38,26,45,35,19,20
2011,North Dorset,E41000089,28,5,31,47,69,88,63,60,38,42,19,17,15,4,4,15,18,20,19,20,16,14,11,4
2011,Purbeck,E41000090,36,17,17,37,49,85,76,57,43,37,29,10,5,2,6,8,6,11,18,20,20,13,7,6
2011,West Dorset,E41000091,53,24,27,55,67,100,122,102,90,72,58,30,13,7,5,13,14,28,43,51,55,37,20,11
2011,Weymouth and Portland,E41000092,35,24,39,60,82,98,111,125,85,60,42,22,7,5,17,11,22,28,40,31,29,19,11,2
2011,Cheltenham,E41000110,100,55,175,308,307,329,340,323,240,158,120,56,30,21,63,159,141,137,160,222,141,133,79,38
2011,Cotswold,E41000111,47,19,22,41,50,60,86,72,67,46,38,16,10,4,8,14,15,18,30,35,48,35,30,27
2011,Forest of Dean,E41000112,41,11,15,26,44,46,60,48,34,25,28,5,4,0,3,5,6,7,8,6,7,9,7,5
2011,Gloucester,E41000113,147,88,130,251,232,325,285,253,215,154,89,38,24,21,43,87,71,84,121,121,110,85,49,27
2011,Stroud,E41000114,62,22,40,90,102,102,134,143,107,81,44,15,14,3,10,28,20,25,32,43,39,26,13,10
2011,Tewkesbury,E41000115,70,35,68,131,152,187,182,184,134,108,66,23,18,10,20,31,30,54,59,74,57,44,29,20
2011,Mendip,E41000208,52,29,46,91,73,105,114,102,99,83,61,28,11,5,7,19,21,25,38,51,42,40,24,11
2011,Sedgemoor,E41000209,105,51,78,154,161,169,192,184,179,155,129,35,28,28,39,69,54,66,102,151,115,128,69,43
2011,South Somerset,E41000210,79,33,97,211,212,238,275,249,231,156,77,24,20,11,17,23,29,26,34,42,47,37,28,13
2011,Taunton Deane,E41000211,129,57,104,231,233,241,260,251,241,205,126,50,51,25,58,94,123,145,205,204,163,117,86,48
2011,West Somerset,E41000212,16,14,14,12,24,28,36,42,34,23,24,11,3,0,6,9,5,11,20,13,12,7,8,2
2011,Isle of Anglesey,W40000001,13,18,14,49,66,60,68,37,35,20,8,5,4,1,1,10,6,5,10,9,5,4,3,2
2011,Gwynedd,W40000002,25,25,22,50,54,84,71,82,47,32,31,7,6,3,14,14,17,19,17,15,18,16,6,5
2011,Conwy,W40000003,25,18,28,38,58,58,84,73,60,35,28,8,4,2,5,4,15,13,16,22,20,16,12,5
2011,Denbighshire,W40000004,30,23,26,50,49,60,58,71,57,41,23,22,6,6,6,14,10,13,11,28,16,10,3,6
2011,Flintshire,W40000005,43,32,69,136,117,157,174,175,107,62,40,29,5,1,12,18,16,14,29,26,19,9,10,9
2011,Wrexham,W40000006,34,24,36,71,69,94,116,98,81,49,17,16,4,0,3,9,9,12,15,22,17,5,6,8
2011,Ceredigion,W40000007,12,24,24,25,34,38,27,43,22,22,8,2,2,8,5,12,6,8,11,11,11,5,1,0
2011,Pembrokeshire,W40000008,23,13,17,51,36,47,51,53,40,20,13,15,4,1,4,7,5,7,6,5,10,6,1,3
2011,Carmarthenshire,W40000009,32,14,25,69,51,75,70,79,61,36,18,21,3,1,4,7,6,6,7,13,6,11,2,3
2011,Swansea,W40000010,45,43,77,161,188,173,181,147,115,66,34,9,10,11,35,35,39,28,28,25,16,11,5,5
2011,Neath Port Talbot,W40000011,26,12,20,92,92,69,102,91,54,66,21,11,1,1,2,8,7,10,11,30,11,12,5,2
2011,Bridgend,W40000012,10,7,29,46,46,54,65,53,58,33,23,6,3,1,0,7,8,8,12,5,13,13,5,0
2011,The Vale of Glamorgan,W40000013,23,18,34,74,112,132,161,119,85,54,23,6,6,1,3,7,20,21,40,19,13,17,10,1
2011,Cardiff,W40000014,135,156,304,676,669,630,524,449,336,212,102,33,40,80,117,287,292,197,179,152,114,81,26,13
2011,Rhondda Cynon Taf,W40000015,13,12,24,41,55,54,69,54,41,26,10,2,4,3,4,3,7,6,5,2,3,3,1,1
2011,Caerphilly,W40000016,19,12,18,52,54,72,79,56,30,26,14,1,3,0,4,9,5,6,3,3,3,3,3,1
2011,Blaenau Gwent,W40000017,13,2,8,15,11,15,22,13,15,8,1,1,0,1,1,1,0,1,0,2,3,0,1,0
2011,Torfaen,W40000018,12,9,12,27,37,41,45,52,28,18,12,6,3,3,0,4,4,3,2,5,1,1,1,0
2011,Monmouthshire,W40000019,23,6,16,35,45,57,59,59,37,27,31,10,4,0,2,10,4,5,9,7,15,16,6,4
2011,Newport,W40000020,34,36,41,102,114,115,103,113,71,51,27,10,5,6,11,10,13,15,8,12,13,7,7,3
2011,Powys,W40000021,30,19,44,72,69,84,92,99,58,51,32,19,8,7,12,24,16,21,21,16,21,16,15,4
2011,Merthyr Tydfil,W40000022,2,1,2,10,17,8,9,12,6,3,1,2,1,0,0,0,3,1,1,0,1,1,0,0
