date,geography,geography code,bicycle_male_16to19,bicycle_male_20to21,bicycle_male_22to24,bicycle_male_25to29,bicycle_male_30to34,bicycle_male_35to39,bicycle_male_40to44,bicycle_male_45to49,bicycle_male_50to54,bicycle_male_55to59,bicycle_male_60to64,bicycle_male_65+,bicycle_female_16to19,bicycle_female_20to21,bicycle_female_22to24,bicycle_female_25to29,bicycle_female_30to34,bicycle_female_35to39,bicycle_female_40to44,bicycle_female_45to49,bicycle_female_50to54,bicycle_female_55to59,bicycle_female_60to64,bicycle_female_65+
2011,Stockport,E41000263,137,79,131,192,271,356,350,299,216,154,88,25,19,7,21,39,51,52,84,71,44,39,24,14
2011,Tameside,E41000264,56,35,60,139,173,179,188,170,123,84,46,16,2,2,5,17,16,20,24,23,11,8,4,2
2011,Trafford,E41000265,108,78,132,273,338,374,366,362,257,158,90,57,23,9,33,75,99,110,131,130,94,53,34,31
2011,Wigan,E41000266,112,76,137,248,250,274,290,300,174,113,67,26,7,7,18,33,27,41,41,47,36,24,5,6
2011,Knowsley,E41000267,33,43,46,84,69,107,106,126,121,76,41,11,7,1,4,7,6,11,13,27,16,9,0,3
2011,Liverpool,E41000268,84,108,238,467,471,434,466,383,304,194,102,29,6,28,60,142,119,88,70,73,51,33,17,11
2011,St. Helens,E41000269,66,31,63,94,114,134,160,131,95,68,45,6,2,1,7,12,3,7,14,21,6,4,6,6
2011,Sefton,E41000270,143,86,136,207,218,233,286,357,302,183,118,75,34,15,28,61,53,87,98,149,133,103,52,41
2011,Wirral,E41000271,111,57,99,166,184,236,278,284,222,148,78,12,11,12,20,26,39,49,60,77,47,32,17,17
2011,"Kingston upon Hull, City of",E41000010,238,230,411,710,726,810,815,765,661,498,308,89,64,71,118,224,211,284,401,469,397,309,117,48
2011,East Riding of Yorkshire,E41000011,217,104,162,298,348,431,432,498,391,276,246,80,64,39,61,134,150,240,332,424,357,280,207,78
2011,North East Lincolnshire,E41000012,167,114,188,272,260,305,319,326,246,192,130,43,36,23,58,123,92,148,180,190,176,130,78,39
2011,North Lincolnshire,E41000013,144,84,133,241,212,221,300,326,250,165,90,36,24,16,33,51,58,57,103,118,109,102,67,36
2011,York,E41000014,409,308,395,766,757,772,857,791,661,431,294,119,165,181,244,454,493,520,661,640,579,370,188,88
2011,Craven,E41000189,21,2,7,18,26,41,51,46,27,25,14,2,2,2,5,4,1,4,10,12,8,2,2,2
2011,Hambleton,E41000190,61,32,50,104,98,128,146,103,56,60,50,21,16,6,7,17,18,30,47,56,36,24,23,14
2011,Harrogate,E41000191,84,37,76,159,169,176,196,161,145,76,73,22,18,8,11,31,46,42,49,55,42,31,12,11
2011,Richmondshire,E41000192,13,16,33,57,64,61,66,26,18,13,13,4,4,0,7,10,3,3,12,10,5,6,3,0
2011,Ryedale,E41000193,31,10,24,53,48,62,86,80,52,60,36,11,8,3,2,13,14,19,35,34,33,35,10,11
2011,Scarborough,E41000194,63,33,37,73,91,96,117,137,87,71,50,11,5,2,7,19,8,27,26,48,29,33,8,5
2011,Selby,E41000195,57,25,47,66,58,80,90,89,77,42,33,9,11,4,13,27,17,42,42,63,52,57,25,11
2011,Barnsley,E41000272,29,15,35,78,66,88,111,86,70,34,22,11,1,0,1,8,13,8,18,6,4,7,0,3
2011,Doncaster,E41000273,113,103,147,270,283,262,272,305,261,153,105,35,14,18,38,68,64,67,144,166,136,122,56,35
2011,Rotherham,E41000274,59,21,61,95,103,126,130,135,84,49,31,12,4,2,4,8,7,14,11,13,10,7,3,2
2011,Sheffield,E41000275,107,98,213,426,510,509,557,440,280,179,92,32,11,20,51,128,140,136,124,92,72,42,8,9
2011,Bradford,E41000288,38,38,82,169,173,247,225,229,130,85,46,20,2,4,6,26,34,24,32,32,16,16,5,4
2011,Calderdale,E41000289,34,13,39,77,92,116,136,126,74,43,21,5,4,2,2,13,15,14,9,14,17,7,6,1
2011,Kirklees,E41000290,48,58,89,176,172,241,281,254,149,100,57,12,5,6,6,11,16,32,26,23,17,11,1,3
2011,Leeds,E41000291,189,234,400,790,776,735,663,603,367,220,120,44,36,48,102,207,180,137,116,127,77,37,28,14
2011,Wakefield,E41000292,82,51,123,182,175,222,247,238,168,90,61,22,5,6,14,17,20,30,36,30,24,22,4,6
2011,Derby,E41000015,145,117,196,408,410,396,475,475,395,213,152,55,16,17,40,82,84,85,107,115,86,63,24,19
2011,Leicester,E41000016,135,195,334,545,593,463,440,464,333,233,131,44,38,51,75,166,158,133,133,119,108,63,27,18
2011,Rutland,E41000017,28,22,17,69,71,69,47,40,29,29,16,9,9,4,8,19,6,19,17,26,16,24,12,3
2011,Nottingham,E41000018,134,151,252,538,530,407,402,372,310,175,94,38,23,40,72,108,121,110,121,112,75,50,27,11
2011,Amber Valley,E41000071,33,21,33,66,73,101,102,125,70,56,22,7,3,2,5,10,6,10,15,16,7,10,2,1
2011,Bolsover,E41000072,14,10,14,30,26,25,26,37,29,15,10,5,1,1,2,6,2,2,7,4,4,0,1,4
2011,Chesterfield,E41000073,18,10,25,44,44,59,60,76,51,29,27,7,1,0,5,6,6,5,12,12,11,4,3,1
2011,Derbyshire Dales,E41000074,12,9,15,20,33,29,50,46,40,26,22,4,1,1,1,4,4,5,7,6,10,9,3,1
2011,Erewash,E41000075,84,56,80,108,159,179,224,203,159,107,75,23,12,9,11,24,29,53,64,87,46,41,29,11
2011,High Peak,E41000076,34,17,21,44,43,73,91,84,56,51,26,5,4,1,2,7,4,9,15,10,7,7,0,1
2011,North East Derbyshire,E41000077,13,10,10,22,40,39,53,36,28,26,9,3,5,1,2,4,3,6,7,2,4,2,1,2
2011,South Derbyshire,E41000078,44,25,26,66,71,93,97,89,43,45,39,14,3,0,1,6,11,19,13,21,8,9,9,4
2011,Blaby,E41000161,81,35,46,88,113,152,154,128,121,69,44,9,12,6,8,25,18,33,30,52,34,28,15,7
2011,Charnwood,E41000162,147,106,141,214,211,244,302,264,237,169,123,46,36,39,45,67,85,84,94,102,100,61,52,15
2011,Harborough,E41000163,48,9,31,43,52,79,74,86,67,57,39,16,9,5,11,13,27,23,49,37,41,42,25,9
2011,Hinckley and Bosworth,E41000164,62,32,50,103,100,105,133,131,70,64,46,15,17,13,17,14,24,20,46,44,44,33,29,6
2011,Melton,E41000165,35,8,22,33,45,51,72,59,54,35,20,14,3,4,6,12,6,14,21,20,16,11,6,5
2011,North West Leicestershire,E41000166,30,12,29,67,51,89,85,78,72,59,28,13,4,5,8,10,10,12,18,33,18,22,5,4
2011,Oadby and Wigston,E41000167,51,21,30,61,56,58,81,76,66,47,30,20,12,6,11,12,17,30,34,23,26,19,6,6
2011,Boston,E41000168,70,44,56,106,114,99,135,132,126,93,92,22,35,21,33,64,51,85,132,154,123,113,56,28
2011,East Lindsey,E41000169,53,36,61,137,143,167,199,155,152,131,98,55,15,17,21,36,33,52,103,98,98,83,49,41
2011,Lincoln,E41000170,101,89,139,225,202,199,242,223,159,119,82,29,27,32,31,88,95,92,105,121,111,86,36,18
2011,North Kesteven,E41000171,79,24,52,148,181,224,204,199,119,73,70,29,25,14,14,44,41,60,85,103,95,70,41,24
2011,South Holland,E41000172,67,52,71,154,133,102,96,106,99,71,49,25,15,20,27,79,56,68,89,84,98,77,57,32
2011,South Kesteven,E41000173,89,42,67,126,113,133,169,184,126,96,89,32,16,4,21,37,53,64,83,100,95,77,48,19
2011,West Lindsey,E41000174,40,18,29,38,50,68,82,90,61,54,42,23,10,10,6,17,17,11,36,40,42,39,32,12
2011,Corby,E41000182,31,30,48,101,106,91,86,88,74,43,24,14,8,3,8,15,16,12,12,18,18,10,1,1
